name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.08,1.11,1.11,1.11,1.11,1.1,1.08,1.1,,1.08,1.08,1.08,1.05,1.08,,1.08,1.08,,1.08,1.08,1.06,1.08,1.09,,
juventus,a,1.13,1.14,1.12,1.14,1.13,1.13,1.17,1.14,,1.12,1.14,1.17,1.1,1.14,,1.14,1.15,,1.14,1.12,1.12,1.12,1.1,1.04,
olympiakos,a,4.5,4.33,4.5,4.5,4.5,4.0,3.5,3.75,,4.0,4.33,4.33,5.0,4.33,,4.5,4.5,,4.33,4.0,4.0,4.0,4.14,3.28,
malmo ff,a,17.0,10.0,10.0,10.0,10.0,13.0,15.0,17.0,,10.0,15.0,11.0,21.0,15.0,,15.0,12.0,,15.0,10.0,13.0,10.0,16.2,13.6,
real madrid,b,1.01,1.01,1.01,1.01,1.01,1.01,1.0,1.01,,1.01,1.01,1.02,1.01,1.01,,1.01,1.01,,1.01,1.01,1.01,1.01,1.04,,
liverpool,b,1.25,1.25,1.22,1.25,1.22,1.25,1.14,1.25,,1.22,1.18,1.29,1.25,1.22,,1.22,1.25,,1.22,1.22,1.18,1.22,1.24,1.16,
basel,b,4.5,5.0,4.5,4.75,4.5,4.5,5.0,4.5,,4.25,5.5,4.0,3.5,4.5,,4.5,4.0,,4.5,4.25,4.25,4.25,4.23,3.72,
ludogorets razgrad,b,12.0,12.0,12.0,10.0,12.0,13.0,26.0,17.0,,9.0,12.0,10.0,26.0,13.0,,21.0,15.0,,13.0,9.0,12.0,9.0,17.6,8.37,
bayer leverkusen,c,1.57,1.62,1.57,1.57,1.57,1.62,1.57,1.57,,1.38,1.44,1.67,1.53,1.6,,1.61,1.6,,1.6,1.38,1.5,1.38,1.63,1.55,
benfica,c,1.8,1.73,1.8,1.8,1.8,1.9,1.91,1.73,,1.95,1.91,1.91,1.8,1.8,,1.8,1.8,,1.8,1.95,1.9,1.95,1.72,1.66,
zenit,c,2.1,2.0,2.2,2.2,2.2,2.0,2.0,2.1,,1.8,2.2,2.0,1.91,2.0,,2.0,2.2,,2.0,1.8,2.25,1.8,2.14,,
monaco,c,2.38,2.38,2.38,2.25,2.38,2.2,2.2,2.4,,2.4,2.38,2.2,2.3,2.25,,2.37,2.1,,2.25,2.4,1.9,2.4,2.18,2.13,
arsenal,d,1.2,1.25,1.25,1.2,1.25,1.2,1.17,1.22,,1.18,1.17,1.2,1.2,1.2,,1.25,1.2,,1.2,1.18,1.16,1.18,1.28,1.16,
