name,group,max,min,mean,median
psg,a,1.02,1.0,1.0086666666666668,1.01
real madrid,a,1.02,1.0,1.0049999999999999,1.0
malmo ff,a,67.0,5.75,39.421875,51.0
shakhtar donetsk,a,67.0,5.75,42.671875,51.0
man utd,b,1.29,1.2,1.2564285714285715,1.25
wolfsburg,b,1.33,1.2,1.2907142857142857,1.29
cska moscow,b,3.1,2.75,2.9135714285714287,2.8799999999999999
psv,b,5.5,4.0,4.8571428571428568,5.0
atletico madrid,c,1.1,1.02,1.0516666666666667,1.05
benfica,c,1.17,1.07,1.1205555555555557,1.125
galatasaray,c,4.5,3.04,3.7411111111111115,3.75
fc astana,c,276.0,25.0,95.722222222222229,101.0
juventus,d,1.17,1.07,1.1089473684210527,1.1000000000000001
man city,d,1.2,1.1,1.1421052631578947,1.1399999999999999
sevilla,d,3.75,3.04,3.4468421052631575,3.5
monchengladbach,d,17.0,7.0,14.871052631578948,16.0
barcelona,e,1.01,1.0,1.0022222222222221,1.0
bayer leverkusen,e,1.75,1.5,1.609,1.6000000000000001
roma,e,2.6,2.15,2.3935,2.395
bate borisov,e,21.0,10.0,13.544999999999998,13.0
bayern munich,f,1.03,1.0,1.0111764705882353,1.01
olympiakos,f,1.57,1.44,1.5176190476190476,1.53
arsenal,f,2.75,2.25,2.5204761904761903,2.5
din zagreb,f,26.0,12.0,17.461904761904762,16.699999999999999
porto,g,1.1,1.05,1.0776190476190477,1.0800000000000001
chelsea,g,1.33,1.2,1.2247619047619047,1.22
dynamo kiev,g,2.88,1.95,2.6952380952380954,2.75
maccabi tel aviv,g,176.0,32.0,84.571428571428569,81.0
zenit,h,1.01,1.0,1.0033333333333332,1.0
valencia,h,1.1,1.01,1.092857142857143,1.1000000000000001
porto,h,1.1,1.1,1.1000000000000001,1.1000000000000001
lyon,h,9.0,5.75,7.083333333333333,7.0
bate borisov,h,13.0,13.0,13.0,13.0
gent,h,23.0,7.65,16.602380952380951,16.0
shakhtar donetsk,h,26.0,26.0,26.0,26.0
