name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
psg,a,1.01,1.01,1.01,1.01,1.01,1.02,1.0,1.01,1.01,1.01,1.0,1.0,,,,1.01,,,1.01,,1.01,,,,,
real madrid,a,1.0,,,1.0,,1.02,1.0,1.01,1.0,,,1.0,,,,,,,,,,,,1.01,,
malmo ff,a,51.0,12.0,34.0,51.0,34.0,11.0,17.0,67.0,26.0,51.0,51.0,51.0,,,,67.0,,,51.0,,51.0,,,5.75,,
shakhtar donetsk,a,51.0,19.0,51.0,51.0,51.0,34.0,21.0,67.0,26.0,51.0,51.0,51.0,,,,51.0,,,51.0,,51.0,,,5.75,,
man utd,b,1.25,1.29,,,,1.25,1.29,1.2,1.25,1.25,1.29,1.29,1.22,,,1.25,,,1.25,1.26,1.25,,,,,
wolfsburg,b,1.29,1.29,,,,1.3,1.29,1.2,1.29,1.33,1.25,1.29,1.33,,,1.29,,,1.33,1.26,1.33,,,,,
cska moscow,b,2.88,3.0,,,,2.8,3.0,3.1,2.88,2.8,3.1,2.88,2.75,,,3.0,,,2.8,3.0,2.8,,,,,
psv,b,5.5,4.0,,,,4.5,4.0,5.5,5.0,5.0,5.0,5.0,4.5,,,5.0,,,5.0,5.0,5.0,,,,,
atletico madrid,c,1.05,1.06,1.05,1.04,1.05,1.07,1.06,1.02,1.06,1.04,1.03,1.04,,,1.06,1.06,,,1.04,1.04,1.04,,,1.1,1.06,
benfica,c,1.13,1.14,1.13,1.13,1.13,1.17,1.1,1.07,1.13,1.12,1.12,1.2,,,1.12,1.13,,,1.12,1.13,1.12,,,1.08,,
galatasaray,c,3.75,3.75,3.75,3.75,3.75,3.3,3.5,4.5,3.75,3.75,4.5,3.75,,,3.25,3.75,,,3.75,3.75,3.75,,,3.04,2.92,
fc astana,c,101.0,26.0,101.0,101.0,101.0,34.0,41.0,276.0,101.0,101.0,81.0,101.0,,,29.0,101.0,,,101.0,101.0,101.0,,,25.0,,
juventus,d,1.1,1.1,1.13,1.1,1.13,1.11,1.1,1.07,1.17,1.1,1.11,1.1,1.17,,1.11,1.1,,,1.1,1.1,1.1,,,1.08,,
man city,d,1.13,1.14,1.14,1.14,1.14,1.18,1.12,1.11,1.2,1.12,1.14,1.2,1.2,,1.12,1.13,,,1.12,1.14,1.12,,,1.1,,
