name,group,max,min,mean,median
real madrid,a,1.06,1.01,1.0249999999999999,1.02
psg,a,1.13,1.06,1.09375,1.0900000000000001
shakhtar donetsk,a,7.5,3.65,6.0718750000000004,6.75
malmo ff,a,51.0,13.0,30.625,31.0
wolfsburg,b,1.5,1.29,1.3500000000000001,1.3300000000000001
man utd,b,1.62,1.5,1.5331250000000001,1.53
psv,b,2.62,1.83,2.3900000000000001,2.3799999999999999
cska moscow,b,4.0,2.88,3.120625,3.0
atletico madrid,c,1.05,1.01,1.0222222222222221,1.02
benfica,c,1.36,1.2,1.2844444444444445,1.29
galatasaray,c,4.33,2.75,3.2316666666666669,3.1200000000000001
fc astana,c,26.0,13.0,21.333333333333332,21.0
juventus,d,1.22,1.17,1.1899999999999999,1.2
man city,d,1.62,1.45,1.5364705882352943,1.53
sevilla,d,2.1,1.67,1.8935294117647057,1.9099999999999999
monchengladbach,d,10.0,7.5,9.116470588235293,9.0
barcelona,e,1.05,1.01,1.0242857142857142,1.02
bayer leverkusen,e,1.85,1.67,1.7785714285714285,1.79
roma,e,1.91,1.7,1.8107142857142857,1.8149999999999999
bate borisov,e,51.0,23.0,38.928571428571431,37.5
bayern munich,f,1.02,1.01,1.0115384615384615,1.01
arsenal,f,1.53,1.25,1.3242857142857143,1.29
olympiakos,f,6.0,4.33,5.3092857142857142,5.0
din zagreb,f,7.5,3.5,5.5592857142857142,5.5
chelsea,g,1.05,1.01,1.0269230769230768,1.03
porto,g,1.29,1.2,1.2478571428571428,1.25
dynamo kiev,g,4.5,2.9,3.645,3.625
maccabi tel aviv,g,36.0,9.0,19.285714285714285,16.0
zenit,h,1.3,1.14,1.239090909090909,1.25
valencia,h,1.8,1.53,1.6054545454545455,1.5700000000000001
lyon,h,2.0,1.8,1.8645454545454547,1.8500000000000001
gent,h,7.5,6.0,6.6818181818181817,7.0
