name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
juventus,a,,1.11,,,,,1.1,1.12,,1.12,1.17,,1.1,1.1,,,,,1.1,1.12,,1.12,1.1,,
atletico madrid,a,,1.17,,,,,1.25,1.36,,1.16,1.36,,1.2,1.16,,,,,1.16,1.16,,1.16,1.1,,
olympiakos,a,,3.0,,,,,2.5,2.2,,2.5,2.2,,3.0,2.75,,,,,2.75,2.5,,2.5,2.42,,
malmo ff,a,,23.0,,,,,34.0,34.0,,15.0,21.0,,34.0,26.0,,,,,26.0,15.0,,15.0,13.4,,
real madrid,b,,1.0,,,,,1.0,1.0,,1.01,1.0,1.0,1.0,1.01,,,,,1.01,1.01,,1.01,1.01,,
liverpool,b,,1.17,,,,,1.11,1.12,,1.2,1.1,1.14,1.1,1.11,,,,,1.11,1.2,,1.2,1.17,,
basel,b,,5.5,,,,,7.0,7.0,,4.5,7.0,5.5,5.0,5.0,,,,,5.0,4.5,,4.5,3.85,,
ludogorets razgrad,b,,17.0,,,,,26.0,23.0,,10.0,21.0,26.0,34.0,17.0,,,,,17.0,10.0,,10.0,11.0,,
zenit,c,,1.5,,,,,1.4,1.4,,1.55,1.5,,1.57,1.53,,,,,1.53,1.55,,1.55,,,
monaco,c,,1.83,,,,,1.67,1.8,,1.8,1.57,,1.8,1.73,,,,,1.73,1.8,,1.8,,,
bayer leverkusen,c,,1.83,,,,,1.83,1.91,,1.65,1.91,,1.8,1.8,,,,,1.8,1.65,,1.65,1.85,,
benfica,c,,3.0,,,,,3.75,3.2,,2.75,3.75,,2.5,2.75,,,,,2.75,2.75,,2.75,,,
dortmund,d,,1.14,,,,,,1.04,,1.05,1.05,1.05,1.06,1.05,,,,,1.05,1.05,,1.05,1.05,,
arsenal,d,,1.33,,,,,,1.29,,1.28,1.2,1.29,1.2,1.25,,,,,1.25,1.28,,1.28,1.33,1.28,
galatasaray,d,,3.0,,,,,,4.5,,3.5,5.0,5.0,4.0,3.75,,,,,3.75,3.5,,3.5,2.9,,
anderlecht,d,,6.5,,,,,,7.5,,5.5,9.0,6.5,9.0,6.5,,,,,6.5,5.5,,5.5,5.75,,
bayern munich,e,,1.14,1.1,1.13,1.1,,1.03,1.07,,1.07,1.07,,1.08,1.08,,1.14,1.12,,1.08,1.07,1.05,1.07,1.06,1.01,
man city,e,,1.36,1.36,1.33,1.36,,1.25,1.36,,1.25,1.33,,1.25,1.33,,1.36,1.35,,1.33,1.25,1.35,1.25,1.19,,
roma,e,,2.62,2.88,2.88,2.88,,3.5,3.0,,2.85,3.0,,3.5,2.75,,2.62,2.8,,2.75,2.85,2.75,2.85,2.44,2.4,
cska moscow,e,,9.0,9.0,8.0,9.0,,13.0,10.0,,10.0,11.0,,11.0,11.0,,11.0,9.0,,11.0,10.0,10.0,10.0,7.65,,
barcelona,f,,1.02,1.02,1.02,1.02,,1.0,1.02,,1.02,1.02,,1.02,1.02,,1.02,1.02,,1.02,1.02,1.01,1.02,1.01,,
psg,f,,1.2,1.14,1.14,1.14,,1.12,1.17,,1.11,1.11,,1.1,1.14,,1.12,1.12,,1.14,1.11,1.1,1.11,1.05,,
ajax,f,,4.5,5.0,5.0,5.0,,6.0,5.0,,4.0,6.0,,6.0,5.5,,6.0,6.0,,5.5,4.0,4.75,4.0,4.8,,
apoel nicosia,f,,11.0,17.0,17.0,17.0,,26.0,23.0,,15.0,21.0,,26.0,17.0,,21.0,17.0,,17.0,15.0,17.0,15.0,16.7,12.2,
chelsea,g,,1.01,1.01,1.02,1.01,,1.0,1.01,,1.01,1.02,,1.03,1.01,,1.02,1.01,,1.01,1.01,1.01,1.01,1.01,,
schalke 04,g,,1.33,1.36,1.44,1.36,,1.4,1.44,,1.55,1.5,,1.5,1.4,,1.5,1.45,,1.4,1.55,1.38,1.55,1.33,,
sporting lisbon,g,,3.25,3.0,2.75,3.0,,2.75,2.8,,2.4,2.7,,2.5,2.75,,2.5,2.75,,2.75,2.4,2.65,2.4,2.33,,
maribor,g,,17.0,15.0,15.0,15.0,,26.0,21.0,,10.0,13.0,,15.0,21.0,,26.0,17.0,,21.0,10.0,15.0,10.0,9.55,,
porto,h,,1.36,1.36,1.4,1.36,,1.4,1.33,,1.2,1.33,,1.25,1.33,,1.36,1.35,,1.33,1.2,1.3,1.2,1.24,1.13,
athletic bilbao,h,,1.4,1.36,1.44,1.36,,1.36,1.4,,1.4,1.44,,1.36,1.44,,1.44,1.4,,1.44,1.4,1.3,1.4,1.28,1.16,
shakhtar donetsk,h,,1.91,1.83,1.73,1.83,,1.73,1.83,,1.85,1.8,,1.8,1.83,,1.8,1.85,,1.83,1.85,1.9,1.85,1.62,1.29,
bate borisov,h,,8.0,9.0,8.0,9.0,,9.0,9.0,,10.0,10.0,,11.0,9.0,,11.0,9.0,,9.0,10.0,10.0,10.0,7.65,,
