name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.06,1.05,,,,1.05,1.05,1.07,,1.08,1.08,1.06,1.05,1.05,,1.05,1.02,1.08,1.06,,1.12,,
Bayer Leverkusen,a,1.22,1.22,,,,1.22,1.17,1.17,,1.25,1.15,1.2,1.2,1.18,,1.25,1.2,1.25,1.16,,1.2,,
Shakhtar Donetsk,a,2.9,3.25,,,,3.0,3.5,3.0,,2.5,3.5,3.25,3.25,3.25,,3.25,3.25,2.5,3.25,,3.28,,
Real Sociedad,a,51.0,51.0,,,,51.0,41.0,51.0,,100.0,41.0,41.0,41.0,51.0,,51.0,51.0,100.0,51.0,,48.0,,
Juventus,b,1.36,1.4,,,,1.4,1.4,1.36,,1.45,1.4,1.36,1.36,1.4,,1.4,1.36,1.45,1.4,,1.36,,
Galatasaray,b,3.0,3.25,,,,3.0,2.88,3.2,,2.5,3.2,3.25,3.0,3.0,,3.25,3.2,2.5,3.0,,3.52,,
FC Copenhagen,b,29.0,15.0,,,,19.0,17.0,17.0,,15.0,15.0,8.0,17.0,15.0,,17.0,17.0,15.0,17.0,,28.0,,
PSG,c,,,,,,,,,,,,1.01,,,,,,,,,,,
Olympiakos,c,1.13,1.11,,,,1.1,1.1,1.1,,1.1,1.07,1.12,1.1,1.1,,1.08,1.1,1.1,1.13,,1.12,,
Benfica,c,6.0,6.0,,,,6.0,6.5,6.5,,7.0,7.0,5.5,6.5,6.5,,6.5,5.75,7.0,6.0,,7.84,,
Anderlecht,c,101.0,101.0,,,,101.0,101.0,126.0,,25.0,126.0,34.0,101.0,101.0,,126.0,,25.0,101.0,,18.1,,
Schalke 04,e,,,,,,,1.67,1.73,,,1.73,1.73,,,,,,,,,1.67,,
Basel,e,,,,,,,2.1,2.0,,,2.0,2.0,,,,,,,,,2.06,,
Arsenal,f,,,,,,,1.02,1.03,,,1.02,1.03,,1.02,,,,,,,1.05,,
Bor Dortmund,f,,,,,,,1.14,1.14,,,1.18,1.17,,1.14,,,,,,,1.16,,
Napoli,f,,,,,,,4.0,3.75,,,3.5,4.0,,3.75,,,,,,,3.23,,
Zenit St Petersburg,g,,1.1,,,,,1.08,1.1,,,1.08,1.1,,1.1,,,,,,,,,
Porto,g,,6.5,,,,,7.0,6.5,,,6.0,6.0,,6.5,,,,,,,5.75,,
AC Milan,h,,,,,,,,1.14,,,1.14,1.12,,1.14,,,,,,,1.14,,
Ajax,h,,,,,,,,5.0,,,5.0,5.5,,5.0,,,,,,,4.23,,
