name,group,max,min,mean,median
juventus,a,1.17,1.07,1.1123809523809525,1.1000000000000001
atletico madrid,a,1.3,1.08,1.2033333333333334,1.2
olympiakos,a,3.0,2.3,2.651904761904762,2.6499999999999999
malmo ff,a,34.0,14.1,26.723809523809525,26.0
real madrid,b,1.01,1.0,1.0044444444444443,1.0
liverpool,b,1.2,1.06,1.1368181818181819,1.1299999999999999
basel,b,8.0,4.5,5.7640909090909096,5.5
ludogorets razgrad,b,34.0,9.73,19.596818181818183,19.0
zenit,c,1.53,1.36,1.4595454545454545,1.4449999999999998
monaco,c,1.88,1.67,1.779047619047619,1.8
bayer leverkusen,c,1.91,1.65,1.8004761904761906,1.8300000000000001
benfica,c,3.75,2.75,3.1480952380952383,3.25
dortmund,d,1.07,1.02,1.05,1.05
arsenal,d,1.36,1.2,1.2738095238095237,1.28
galatasaray,d,5.0,3.38,4.2069999999999999,4.3300000000000001
anderlecht,d,8.0,5.5,6.7409999999999997,7.0
bayern munich,e,1.05,1.03,1.0428571428571429,1.04
man city,e,1.57,1.34,1.4977272727272728,1.5
roma,e,2.38,1.81,2.225714285714286,2.25
cska moscow,e,34.0,4.99,20.190000000000001,21.0
barcelona,f,1.02,1.0,1.0128571428571429,1.01
psg,f,1.17,1.04,1.1333333333333333,1.1299999999999999
ajax,f,6.0,4.25,4.8761904761904766,5.0
apoel nicosia,f,26.0,11.4,21.352380952380951,21.0
chelsea,g,1.04,1.01,1.0219047619047619,1.02
schalke 04,g,1.38,1.25,1.290909090909091,1.29
sporting lisbon,g,3.5,2.56,3.1980952380952381,3.25
maribor,g,26.0,13.0,19.338095238095239,21.0
porto,h,1.24,1.05,1.1536363636363636,1.1699999999999999
athletic bilbao,h,1.67,1.06,1.5745454545454545,1.6000000000000001
shakhtar donetsk,h,1.83,1.28,1.7281818181818183,1.74
bate borisov,h,21.0,12.0,16.019047619047619,17.0
