name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.08,1.08,,,,,1.05,1.05,,1.08,1.06,1.06,1.08,1.05,,1.05,1.08,1.07,1.06,,1.07,0.03,
Bayer Leverkusen,a,1.57,1.62,,,,,1.57,1.53,,1.5,1.44,1.62,1.62,1.55,,1.5,1.5,1.57,1.55,,1.43,1.16,
Shakhtar Donetsk,a,2.0,2.0,,,,,2.2,2.1,,2.05,2.25,2.0,1.91,2.15,,2.15,2.05,2.0,2.1,,1.97,0.03,
Real Sociedad,a,26.0,15.0,,,,,17.0,21.0,,20.0,23.0,17.0,13.0,17.0,,19.0,20.0,19.0,17.0,,9.55,0.03,
Real Madrid,b,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,0.03,
Juventus,b,1.44,1.4,,,,,1.4,1.53,,1.45,1.53,1.44,1.53,1.36,,1.42,1.45,1.4,1.45,,1.57,1.47,
Galatasaray,b,2.63,2.75,,,,,2.75,2.5,,2.5,2.38,2.4,2.38,2.65,,2.65,2.5,2.63,2.6,,2.52,2.46,
FC Copenhagen,b,51.0,101.0,,,,,151.0,67.0,,50.0,29.0,34.0,51.0,101.0,,81.0,50.0,51.0,34.0,,19.0,0.03,
PSG,c,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,0.03,
Benfica,c,1.73,1.8,,,,,1.83,1.83,,1.6,1.73,1.67,1.8,1.75,,1.75,1.6,1.73,1.75,,1.59,0.03,
Olympiakos,c,2.0,1.91,,,,,1.83,2.0,,2.2,2.0,2.0,1.91,1.95,,2.0,2.2,1.91,2.0,,1.89,1.65,
Anderlecht,c,51.0,51.0,,,,,67.0,51.0,,50.0,51.0,34.0,34.0,41.0,,51.0,50.0,51.0,41.0,,19.0,4.78,
Bayern Munich,d,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,
Man City,d,1.08,1.05,,,,,1.04,1.05,,1.03,1.02,1.02,1.07,1.03,,1.03,1.03,1.04,1.08,,1.02,,
CSKA Moscow,d,7.0,8.0,,,,,9.0,12.0,,12.0,11.0,7.0,7.5,7.5,,9.0,12.0,7.5,7.5,,10.0,,
Plzen,d,101.0,101.0,,,,,101.0,176.0,,100.0,151.0,126.0,101.0,101.0,,101.0,100.0,101.0,101.0,,19.0,,
Chelsea,e,1.03,1.05,,,,,1.05,1.02,,1.04,1.03,1.04,1.04,1.03,,1.02,1.04,1.04,1.04,,1.04,0.03,
Schalke 04,e,1.2,1.17,,,,,1.17,1.22,,1.1,1.29,1.2,1.2,1.18,,1.16,1.1,1.17,1.17,,1.21,1.16,
Basel,e,3.75,3.75,,,,,3.5,3.6,,4.0,3.1,3.4,3.75,3.5,,3.5,4.0,3.75,3.75,,3.09,2.9,
Steaua Bucharest,e,51.0,51.0,,,,,67.0,51.0,,30.0,34.0,26.0,26.0,41.0,,34.0,30.0,51.0,34.0,,11.4,0.03,
Bor Dortmund,f,1.17,1.17,,,,,1.17,1.14,,1.18,1.17,1.17,1.2,1.16,,1.16,1.18,1.17,1.18,,1.17,0.03,
Arsenal,f,1.62,1.62,,,,,1.53,1.53,,1.65,1.57,1.53,1.57,1.57,,1.55,1.65,1.62,1.55,,1.52,1.46,
Napoli,f,1.67,1.67,,,,,1.73,1.67,,1.6,1.67,1.73,1.67,1.67,,1.6,1.6,1.67,1.65,,1.71,1.64,
Marseille,f,51.0,34.0,,,,,51.0,51.0,,25.0,51.0,26.0,26.0,34.0,,41.0,25.0,34.0,34.0,,11.4,0.03,
Atletico Madrid,g,1.01,1.01,,,,,1.0,1.0,,,1.0,1.01,,,,,,1.0,1.01,,,,
Zenit St Petersburg,g,1.67,1.62,,,,,1.67,1.5,,1.68,1.5,1.4,,1.55,,1.65,1.68,1.62,1.55,,1.67,,
Porto,g,2.1,2.2,,,,,2.1,2.62,,2.1,2.4,2.62,,2.25,,2.1,2.1,2.2,2.25,,2.06,,
Austria Vienna,g,67.0,51.0,,,,,101.0,81.0,,25.0,41.0,34.0,,51.0,,67.0,25.0,51.0,34.0,,24.0,,
Barcelona,h,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,
AC Milan,h,1.14,1.06,,,,,1.08,1.17,,1.06,1.14,1.08,1.07,1.07,,1.08,1.06,1.08,1.1,,1.08,,
Ajax,h,15.0,15.0,,,,,13.0,13.0,,15.0,11.0,13.0,11.0,13.0,,13.0,15.0,13.0,13.0,,11.4,,
Celtic,h,8.0,11.0,,,,,11.0,7.5,,8.0,7.5,8.0,15.0,11.0,,9.0,8.0,11.0,10.0,,14.3,,
