name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.01,1.03,,,,1.05,1.02,,,1.06,1.01,1.02,,1.03,,,,1.03,1.06,1.01,1.06,,,,,
psg,a,1.06,1.1,,,,1.12,1.08,,,1.13,1.08,1.08,,1.1,,,,1.1,1.13,1.1,1.13,,,,,
shakhtar donetsk,a,7.0,6.0,,,,5.2,6.0,,,3.65,8.0,6.5,,6.5,,,,6.5,3.65,6.0,3.65,,,,,
malmo ff,a,34.0,13.0,,,,15.0,51.0,,,31.0,51.0,21.0,,15.0,,,,15.0,31.0,15.0,31.0,,,,,
wolfsburg,b,1.33,1.5,,,,1.4,1.29,,,,1.29,1.29,,1.44,,,,1.44,,1.4,,,,,,
man utd,b,1.57,1.53,,,,1.55,1.5,,,,1.67,1.57,,1.53,,,,1.53,,1.53,,,,,,
psv,b,2.38,2.25,,,,2.38,2.5,,,,2.5,2.75,,2.38,,,,2.38,,2.35,,,,,,
cska moscow,b,3.0,2.75,,,,3.1,3.25,,,,3.0,3.1,,2.8,,,,2.8,,3.0,,,,,,
atletico madrid,c,1.02,1.03,,,,1.03,1.03,,,,1.01,1.05,,1.02,,,,1.02,,1.02,,,,1.01,,
benfica,c,1.36,1.33,,,,1.33,1.29,,,,1.2,1.33,,1.29,,,,1.29,,1.3,,,,1.11,,
galatasaray,c,2.75,3.0,,,,3.1,3.25,,,,4.0,2.88,,3.25,,,,3.25,,3.1,,,,1.95,,
fc astana,c,26.0,15.0,,,,17.0,21.0,,,,26.0,21.0,,17.0,,,,17.0,,17.0,,,,7.65,,
juventus,d,1.2,1.2,,,,1.2,1.22,,,,1.17,1.2,,1.17,,,,1.17,,1.2,,,,1.19,,
man city,d,1.5,1.67,,,,1.57,1.57,,,,1.53,1.5,,1.57,,,,1.57,,1.57,,,,1.24,,
sevilla,d,2.0,1.8,,,,1.91,1.67,,,,2.0,2.1,,1.91,,,,1.91,,1.85,,,,1.76,,
monchengladbach,d,9.0,7.5,,,,9.0,9.0,,,,9.0,8.0,,8.5,,,,8.5,,8.5,,,,4.8,,
barcelona,e,,1.04,,,,1.02,1.02,1.0,1.02,1.01,1.02,,1.01,1.04,,1.03,,1.04,1.01,1.01,1.01,,,,,
bayer leverkusen,e,,1.83,,,,1.73,1.83,1.91,1.91,1.65,1.85,,1.83,1.83,,1.91,,1.83,1.65,1.83,1.65,,,,,
roma,e,,1.8,,,,2.0,1.8,1.91,1.91,1.9,1.73,,1.83,1.83,,1.83,,1.83,1.9,1.83,1.9,,,,,
bate borisov,e,,17.0,,,,17.0,15.0,10.0,13.0,51.0,34.0,,21.0,15.0,,15.0,,15.0,51.0,17.0,51.0,,,,,
bayern munich,f,,1.05,,,,1.03,1.02,1.01,1.03,1.04,1.02,,1.01,1.03,,1.03,,1.03,1.04,1.01,1.04,,,,,
arsenal,f,,1.25,,,,1.14,1.14,1.07,1.14,1.15,1.14,,1.12,1.18,,1.17,,1.18,1.15,1.15,1.15,,,,,
olympiakos,f,,4.0,,,,6.5,5.0,7.0,5.0,3.75,6.0,,5.0,5.0,,5.0,,5.0,3.75,5.0,3.75,,,,,
din zagreb,f,,8.5,,,,10.0,13.0,21.0,13.0,16.0,13.0,,13.0,12.0,,13.0,,12.0,16.0,13.0,16.0,,,,,
chelsea,g,,1.04,,,,1.07,1.03,1.01,1.04,1.05,1.05,,1.03,1.05,,1.04,,1.05,1.05,1.05,1.05,,,,,
porto,g,,1.22,,,,1.3,1.2,1.36,1.29,1.2,1.36,,1.22,1.27,,1.29,,1.27,1.2,1.25,1.2,,,,,
dynamo kiev,g,,4.33,,,,3.4,3.75,2.88,3.5,3.0,2.9,,3.75,3.75,,3.75,,3.75,3.0,3.5,3.0,,,,,
maccabi tel aviv,g,,9.0,,,,10.0,13.0,19.0,13.0,51.0,13.0,,13.0,10.0,,10.0,,10.0,51.0,10.0,51.0,,,,,
valencia,h,,1.29,,,,1.3,1.25,1.25,1.25,1.25,1.29,,1.29,1.3,,1.29,,1.3,1.25,1.25,1.25,,,,,
zenit,h,,1.57,,,,1.62,1.53,1.44,1.62,1.65,1.62,,1.57,1.62,,1.57,,1.62,1.65,1.55,1.65,,,,,
lyon,h,,1.8,,,,1.8,1.8,1.91,1.91,1.72,1.8,,1.8,1.73,,1.83,,1.73,1.72,1.85,1.72,,,,,
gent,h,,6.5,,,,6.5,7.0,7.0,6.5,7.5,6.5,,8.0,6.0,,7.0,,6.0,7.5,6.5,7.5,,,,,
