name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.01,1.03,,,,1.05,1.02,1.01,1.01,1.06,1.01,1.02,1.01,1.02,,,,1.02,1.06,1.01,1.06,,,,,
psg,a,1.06,1.1,,,,1.12,1.08,1.06,1.1,1.13,1.08,1.08,1.1,1.08,,,,1.08,1.13,1.1,1.13,,,,,
shakhtar donetsk,a,7.0,6.0,,,,5.2,6.0,7.5,7.0,3.65,7.0,6.5,7.0,7.0,,,,7.0,3.65,6.0,3.65,,,,,
malmo ff,a,34.0,13.0,,,,15.0,51.0,34.0,26.0,31.0,51.0,21.0,51.0,26.0,,,,26.0,31.0,15.0,31.0,,,,,
wolfsburg,b,1.33,1.5,,,,1.4,1.29,1.3,1.36,,1.3,1.29,1.33,1.4,,,,1.4,,1.4,,,,,,
man utd,b,1.57,1.53,,,,1.55,1.5,1.57,1.53,,1.62,1.57,1.5,1.53,,,,1.53,,1.53,,,,,,
psv,b,2.38,2.25,,,,2.38,2.5,2.4,2.5,,2.6,2.75,2.62,2.5,,,,2.5,,2.35,,,,,,
cska moscow,b,3.0,2.75,,,,3.1,3.25,3.0,2.88,,3.0,3.1,3.0,3.0,,,,3.0,,3.0,,,,,,
atletico madrid,c,1.02,1.03,,,,1.03,1.03,1.01,1.03,,1.01,1.05,1.03,1.02,1.02,,,1.02,,1.02,,,,1.02,,
benfica,c,1.36,1.33,,,,1.33,1.29,1.25,1.33,,1.2,1.33,1.33,1.29,1.33,,,1.29,,1.3,,,,1.28,1.23,
galatasaray,c,2.75,3.0,,,,3.1,3.25,3.5,3.25,,4.33,2.88,3.25,3.5,3.0,,,3.5,,3.1,,,,3.14,2.86,
fc astana,c,26.0,15.0,,,,17.0,21.0,21.0,13.0,,23.0,21.0,21.0,21.0,26.0,,,21.0,,17.0,,,,22.0,19.4,
juventus,d,1.2,1.2,,,,1.2,1.22,1.17,1.2,,1.17,1.2,1.2,1.17,,,,1.17,,1.2,,,,1.19,,
man city,d,1.5,1.67,,,,1.57,1.57,1.53,1.57,,1.53,1.5,1.5,1.57,,,,1.57,,1.57,,,,1.45,,
sevilla,d,2.0,1.8,,,,1.91,1.67,1.73,1.83,,2.05,2.1,2.1,1.91,,,,1.91,,1.85,,,,1.93,,
monchengladbach,d,9.0,7.5,,,,9.0,9.0,10.0,9.0,,10.0,8.0,9.0,9.0,,,,9.0,,8.5,,,,8.98,,
barcelona,e,1.02,1.04,,,,1.03,1.02,,,,1.02,1.05,,,,,,,,,,,,,,
bayer leverkusen,e,1.83,1.83,,,,1.73,1.73,,,,1.85,1.8,,,,,,,,,,,,,,
roma,e,1.83,1.8,,,,1.91,1.8,,,,1.7,1.91,,,,,,,,,,,,,,
bate borisov,e,26.0,17.0,,,,26.0,26.0,,,,51.0,51.0,,,,,,,,,,,,,,
bayern munich,f,1.01,1.05,,,,1.01,1.02,,,,1.01,1.01,,,,,,,,,,,,,,
arsenal,f,1.29,1.25,,,,1.25,1.29,,,,1.36,1.36,,,,,,,,,,,,,,
olympiakos,f,5.5,4.0,,,,5.0,4.5,,,,6.0,4.0,,,,,,,,,,,,,,
din zagreb,f,6.0,8.5,,,,7.5,7.0,,,,5.0,7.0,,,,,,,,,,,,,,
chelsea,g,1.02,1.04,,,,1.04,1.02,,,,1.05,1.02,,,,,,,,,,,,,,
porto,g,1.29,1.22,,,,1.25,1.2,,,,1.25,1.25,,,,,,,,,,,,,,
dynamo kiev,g,3.75,4.33,,,,4.0,4.33,,,,3.5,3.5,,,,,,,,,,,,,,
maccabi tel aviv,g,13.0,9.0,,,,12.0,13.0,,,,15.0,21.0,,,,,,,,,,,,,,
zenit,h,1.33,1.25,,,,1.3,1.25,,,,1.17,1.25,,,,,,,,,,,,,,
valencia,h,1.62,1.57,,,,1.53,1.57,,,,1.8,1.57,,,,,,,,,,,,,,
lyon,h,1.91,1.83,,,,1.9,1.83,,,,1.85,1.91,,,,,,,,,,,,,,
gent,h,5.0,7.0,,,,6.0,7.0,,,,7.0,6.0,,,,,,,,,,,,,,
