name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.17,1.14,,1.13,1.14,,1.14,1.1,1.14,1.08,1.17,,1.11,1.14,,1.1,1.08,1.1,1.1,1.17,,1.22,1.16,
Shakhtar Donetsk,a,2.38,2.38,,2.38,2.38,,2.38,2.2,2.25,2.0,2.2,,2.2,2.3,,2.2,2.0,2.3,2.38,2.4,,2.33,2.21,
Bayer Leverkusen,a,2.25,2.38,,2.4,2.38,,2.38,2.4,2.25,2.4,2.3,,2.5,2.4,,2.5,2.4,2.35,2.5,2.1,,2.08,2.04,
Real Sociedad,a,2.5,2.62,,2.5,2.63,,2.5,2.8,2.63,2.2,2.75,,2.75,2.6,,2.5,2.2,2.6,2.5,2.75,,2.16,2.14,
Real Madrid,b,1.04,1.05,,1.04,1.05,,1.07,1.04,1.04,1.03,1.03,,1.04,1.05,,1.02,1.03,1.03,1.03,1.05,,1.04,0.05,
Juventus,b,1.13,1.17,,1.17,1.2,,1.29,1.17,1.14,1.18,1.12,,1.17,1.25,,1.13,1.18,1.15,1.13,1.25,,1.12,1.1,
Galatasaray,b,5.0,4.5,,4.33,4.5,,3.25,4.5,4.0,3.0,5.5,,4.5,4.5,,4.0,3.0,4.0,3.5,3.5,,3.71,3.85,
FC Copenhagen,b,15.0,17.0,,15.0,15.0,,9.0,19.0,15.0,25.0,13.0,,15.0,13.0,,23.0,25.0,18.0,13.0,15.0,,17.1,15.3,
PSG,c,1.08,1.07,,1.07,1.08,,1.08,1.08,1.07,1.04,1.05,,1.07,1.08,,1.05,1.04,1.07,1.08,1.05,,1.15,1.11,
Benfica,c,1.3,1.22,,1.29,1.29,,1.17,1.33,1.25,1.3,1.36,,1.33,1.29,,1.33,1.3,1.23,1.33,1.25,,1.29,1.25,
Olympiakos,c,4.33,4.5,,5.0,4.5,,5.0,4.0,4.33,3.5,4.0,,4.33,5.0,,3.3,3.5,4.5,4.0,4.5,,3.52,3.66,
Anderlecht,c,5.0,7.0,,5.0,6.0,,7.0,5.5,5.0,3.5,5.5,,5.5,7.0,,6.5,3.5,5.5,5.0,7.0,,4.89,4.8,
Bayern Munich,d,1.04,1.05,,1.05,1.05,,1.05,1.03,1.03,1.03,1.02,,1.04,1.05,,1.02,1.03,1.01,1.04,1.03,,1.07,,
Man City,d,1.14,1.17,,1.17,1.2,,1.2,1.2,1.17,1.15,1.15,,1.14,1.15,,1.15,1.15,1.13,1.14,1.14,,1.22,,
CSKA Moscow,d,4.5,5.0,,5.0,5.0,,5.0,4.5,4.5,4.0,5.0,,5.0,5.0,,4.0,4.0,5.0,4.5,5.0,,3.61,,
Plzen,d,15.0,13.0,,10.0,13.0,,11.0,15.0,15.0,10.0,13.0,,15.0,15.0,,15.5,10.0,13.0,15.0,12.0,,10.5,,
Chelsea,e,1.05,1.05,,1.04,1.07,,1.05,1.03,1.03,1.02,1.03,,1.05,1.05,,1.01,1.02,1.03,1.03,1.03,,1.08,0.05,
Schalke 04,e,1.44,1.4,,1.4,1.4,,1.33,1.4,1.4,1.45,1.53,,1.53,1.36,,1.6,1.45,1.38,1.44,1.4,,1.38,1.29,
Basel,e,3.0,3.25,,3.2,3.4,,3.5,3.5,3.25,2.9,2.88,,2.75,3.0,,2.6,2.9,3.0,3.0,3.0,,2.58,2.5,
Steaua Bucharest,e,7.0,7.0,,8.0,7.0,,8.0,6.0,7.0,4.0,7.0,,6.0,10.0,,6.4,4.0,8.0,8.0,8.5,,4.89,4.32,
Bor Dortmund,f,1.36,1.36,,,1.36,,1.4,1.29,1.36,1.25,1.25,,1.36,1.4,,1.3,1.25,1.32,1.36,1.45,,1.34,1.25,
Arsenal,f,1.67,1.73,,,1.73,,1.67,1.67,1.67,1.45,1.7,,1.8,1.67,,1.7,1.45,1.61,1.67,1.65,,1.72,1.67,
Napoli,f,1.8,1.83,,,1.83,,1.8,2.1,1.83,2.0,1.91,,1.83,1.83,,1.8,2.0,1.85,1.8,1.75,,1.76,1.71,
Marseille,f,4.33,4.33,,,4.33,,4.0,3.5,4.0,3.75,4.8,,3.75,4.0,,4.0,3.75,4.3,4.33,4.0,,4.04,3.85,
Atletico Madrid,g,1.29,1.33,,1.33,1.3,,1.33,1.33,1.29,1.3,1.29,,1.33,1.29,,1.33,1.3,1.27,1.29,1.3,,1.1,,
Porto,g,1.53,1.57,,1.57,1.57,,1.62,1.57,1.53,1.45,1.44,,1.62,1.57,,1.45,1.45,1.5,1.53,1.55,,1.41,,
Zenit St Petersburg,g,1.73,1.73,,1.67,1.73,,1.62,1.73,1.73,1.75,1.8,,1.62,1.73,,1.65,1.75,1.68,1.73,1.7,,1.58,,
Austria Vienna,g,9.0,8.0,,8.0,9.0,,8.0,6.5,9.0,5.0,11.0,,8.0,8.0,,9.0,5.0,9.5,9.0,10.0,,5.27,,
Barcelona,h,1.01,1.02,,1.02,1.02,,1.02,1.02,1.02,1.01,1.02,,1.02,1.02,,1.01,1.01,1.01,,1.01,,1.03,,
AC Milan,h,1.2,1.22,,1.22,1.25,,1.2,1.3,1.22,1.2,1.29,,1.22,1.2,,1.2,1.2,1.18,1.2,1.2,,1.33,,
Ajax,h,5.0,4.5,,4.5,5.0,,5.0,4.5,4.5,4.5,4.5,,5.0,5.0,,4.0,4.5,4.5,5.0,4.5,,3.94,,
Celtic,h,10.0,13.0,,9.0,9.0,,11.0,9.0,10.0,5.5,7.0,,9.0,11.0,,11.0,5.5,11.0,10.0,12.0,,9.55,,
