name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
juventus,a,1.1,1.11,,1.1,1.11,1.1,1.1,1.12,1.1,1.12,1.17,1.17,1.1,1.1,,1.1,,,1.1,1.12,1.1,1.12,1.11,,
atletico madrid,a,1.22,1.2,,1.2,1.2,1.2,1.25,1.3,1.22,1.16,1.33,1.22,1.25,1.16,,1.25,,,1.16,1.16,1.16,1.16,1.17,,
olympiakos,a,3.0,2.88,,3.0,2.63,2.75,2.5,2.38,2.5,2.5,2.2,2.38,2.75,2.75,,2.88,,,2.75,2.5,2.75,2.5,2.75,,
malmo ff,a,34.0,23.0,,26.0,34.0,34.0,34.0,34.0,34.0,15.0,26.0,34.0,34.0,26.0,,29.0,,,26.0,15.0,34.0,15.0,21.0,,
real madrid,b,1.0,1.0,1.0,1.01,1.0,,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.01,,1.01,,,1.01,1.01,,1.01,,,
liverpool,b,1.17,1.17,1.11,1.14,1.11,1.15,1.06,1.11,1.07,1.2,1.12,1.14,1.14,1.11,,1.16,,,1.11,1.2,1.12,1.2,1.22,1.19,
basel,b,6.0,5.5,5.5,5.5,5.5,6.0,8.0,7.0,7.0,4.5,7.0,5.5,5.0,5.0,,5.5,,,5.0,4.5,7.0,4.5,6.13,,
ludogorets razgrad,b,21.0,17.0,21.0,17.0,21.0,19.0,34.0,31.0,21.0,10.0,17.0,26.0,15.0,17.0,,19.0,,,17.0,10.0,21.0,10.0,15.3,14.1,
zenit,c,1.44,1.5,1.44,1.5,1.44,1.45,1.4,1.4,1.44,1.5,1.33,1.44,1.44,1.53,,1.5,,,1.53,1.5,1.5,1.5,1.43,,
monaco,c,1.83,1.83,1.73,1.8,1.73,1.8,1.73,1.8,1.73,1.8,1.8,1.83,1.8,1.73,,1.72,,,1.73,1.8,1.75,1.8,1.97,,
bayer leverkusen,c,1.83,1.83,1.83,1.83,1.83,1.85,1.8,1.91,1.83,1.65,1.9,1.73,1.8,1.8,,1.83,,,1.8,1.65,1.8,1.65,1.76,,
benfica,c,3.25,3.0,3.25,2.88,3.25,3.25,3.75,3.2,3.25,2.75,3.75,3.75,3.25,2.75,,3.5,,,2.75,2.75,2.75,2.75,2.9,,
dortmund,d,1.06,1.06,,1.06,1.05,1.05,1.03,1.04,1.05,1.05,1.06,1.05,1.06,1.05,,1.05,,,1.05,1.05,1.03,1.05,1.01,,
arsenal,d,1.29,1.29,,1.29,1.29,1.28,1.25,1.29,1.25,1.28,1.22,1.29,1.25,1.25,,1.28,,,1.25,1.28,1.2,1.28,1.23,,
galatasaray,d,4.33,4.0,,4.0,4.5,4.33,5.0,4.5,4.0,3.5,4.5,5.0,4.5,3.75,,4.5,,,3.75,3.5,4.6,3.5,3.66,,
anderlecht,d,7.0,7.0,,7.0,7.0,7.0,7.0,7.5,7.0,5.5,8.0,6.5,7.0,6.5,,7.5,,,6.5,5.5,7.0,5.5,5.75,,
bayern munich,e,,1.01,1.01,,1.01,,,1.01,,1.01,1.02,1.01,1.01,1.01,,1.01,,,1.01,1.01,,1.01,1.03,,
man city,e,,1.8,1.91,,1.91,,,1.91,,1.65,1.91,1.67,1.67,1.83,,1.83,,,1.83,1.65,,1.65,1.52,,
roma,e,,1.91,1.91,,1.91,,,1.91,,2.05,1.91,2.0,2.1,1.83,,1.83,,,1.83,2.05,,2.05,1.9,,
cska moscow,e,,41.0,34.0,,34.0,,,51.0,,21.0,26.0,51.0,41.0,41.0,,34.0,,,41.0,21.0,,21.0,19.0,,
barcelona,f,,1.04,1.03,,1.03,,,1.02,,1.03,1.02,1.03,,1.04,,1.05,,,1.04,1.03,,1.03,1.03,,
psg,f,,1.06,1.06,,1.06,,,1.07,,1.06,1.03,1.03,,1.06,,1.06,,,1.06,1.06,,1.06,1.04,,
ajax,f,,6.0,6.0,,6.0,,,8.0,,5.0,8.0,7.5,,6.5,,7.0,,,6.5,5.0,,5.0,,,
apoel nicosia,f,,26.0,26.0,,26.0,,,34.0,,21.0,34.0,21.0,,21.0,,21.0,,,21.0,21.0,,21.0,,,
chelsea,g,,1.01,1.01,,1.01,,,1.01,,1.01,1.0,1.0,1.02,1.01,,1.02,,,1.01,1.01,,1.01,1.06,,
schalke 04,g,,1.36,1.4,,1.4,,,1.4,,1.4,1.4,1.4,1.36,1.36,,1.36,,,1.36,1.4,,1.4,1.33,,
sporting lisbon,g,,3.0,3.0,,3.0,,,3.25,,2.7,3.25,3.25,3.0,3.0,,3.25,,,3.0,2.7,,2.7,1.95,,
maribor,g,,15.0,15.0,,15.0,,,15.0,,16.0,13.0,11.0,17.0,15.0,,17.0,,,15.0,16.0,,16.0,,,
porto,h,,1.1,1.11,,1.11,,,1.12,,1.06,1.17,1.11,,1.1,,1.1,,,1.1,1.06,,1.06,1.01,,
shakhtar donetsk,h,,1.67,1.67,,1.67,,,1.67,,1.6,1.67,1.67,,1.62,,1.72,,,1.62,1.6,,1.6,1.01,,
athletic bilbao,h,,2.25,2.2,,2.2,,,2.4,,1.85,2.1,2.38,,2.2,,2.25,,,2.2,1.85,,1.85,1.01,,
bate borisov,h,,6.0,6.0,,6.0,,,5.0,,10.0,5.5,5.0,,6.5,,6.5,,,6.5,10.0,,10.0,2.9,,
