name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.01,1.02,,,,1.02,1.02,1.01,1.01,1.01,1.01,1.02,,1.02,,1.01,,1.02,1.01,1.01,1.01,,,,,
psg,a,1.06,1.11,,,,1.1,1.08,1.06,1.1,1.13,1.08,1.08,,1.08,,1.06,,1.08,1.13,1.1,1.13,,,,,
shakhtar donetsk,a,7.0,6.0,,,,6.0,6.0,7.5,7.0,3.65,7.0,6.5,,7.0,,7.0,,7.0,3.65,6.0,3.65,,,,,
malmo ff,a,34.0,13.0,,,,21.0,51.0,34.0,26.0,31.0,51.0,21.0,,26.0,,34.0,,26.0,31.0,15.0,31.0,,,,,
wolfsburg,b,1.33,1.5,,,,1.4,1.29,1.3,1.36,1.3,1.36,1.36,,1.4,,1.33,,1.4,1.3,1.4,1.3,,,,,
man utd,b,1.53,1.53,,,,1.55,1.5,1.57,1.53,1.5,1.57,1.57,,1.53,,1.53,,1.53,1.5,1.53,1.5,,,,,
psv,b,2.38,1.83,,,,2.38,2.5,2.4,2.5,2.35,2.3,2.25,,2.5,,2.38,,2.5,2.35,2.35,2.35,,,,,
cska moscow,b,3.4,3.75,,,,3.1,3.25,3.0,2.88,3.2,3.5,3.1,,3.0,,3.0,,3.0,3.2,3.0,3.2,,,,,
atletico madrid,c,1.02,1.03,,,,1.03,1.03,1.01,1.03,1.01,1.01,1.05,,1.02,1.02,1.03,,1.02,1.01,1.02,1.01,,,1.01,,
benfica,c,1.36,1.36,,,,1.33,1.29,1.25,1.33,1.22,1.2,1.25,,1.29,1.28,1.3,,1.29,1.22,1.3,1.22,,,1.24,1.18,
galatasaray,c,2.75,2.88,,,,3.1,3.25,3.5,3.25,3.0,4.2,3.5,,3.5,3.0,3.0,,3.5,3.0,3.1,3.0,,,3.14,2.88,
fc astana,c,26.0,13.0,,,,17.0,21.0,21.0,13.0,26.0,23.0,21.0,,21.0,26.0,21.0,,21.0,26.0,17.0,26.0,,,22.0,19.4,
juventus,d,1.2,1.2,,,,1.2,1.22,1.17,1.2,1.18,1.2,1.2,,1.17,1.2,1.2,,1.17,1.18,1.2,1.18,,,1.19,,
man city,d,1.5,1.67,,,,1.57,1.57,1.53,1.57,1.5,1.57,1.57,,1.57,1.5,1.5,,1.57,1.5,1.57,1.5,,,1.45,,
sevilla,d,2.0,1.8,,,,1.91,1.67,1.73,1.83,1.8,1.9,2.0,,1.91,2.0,2.0,,1.91,1.8,1.85,1.8,,,2.08,,
monchengladbach,d,9.0,7.5,,,,9.0,9.0,10.0,9.0,10.0,9.5,8.0,,9.0,10.0,9.0,,9.0,10.0,8.5,10.0,,,8.98,,
barcelona,e,1.01,1.02,,,,1.04,1.02,,,,1.01,,,,,,,,,,,,,,,
bayer leverkusen,e,1.53,1.5,,,,1.5,1.5,,,,1.73,,,,,,,,,,,,,,,
roma,e,2.5,2.62,,,,2.25,2.38,,,,2.2,,,,,,,,,,,,,,,
bate borisov,e,26.0,11.0,,,,23.0,13.0,,,,11.0,,,,,,,,,,,,,,,
bayern munich,f,1.0,1.01,,,,1.01,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
olympiakos,f,1.83,1.73,,,,1.85,1.73,1.8,,,1.73,,,,,,,,,,,,,,,
arsenal,f,3.5,3.5,,,,3.6,3.25,3.75,,,3.25,,,,,,,,,,,,,,,
din zagreb,f,4.0,3.5,,,,3.2,3.75,3.75,,,4.5,,,,,,,,,,,,,,,
chelsea,g,1.13,1.12,,,,1.08,1.1,,,,1.17,,,,,,,,,,,,,,,
porto,g,1.17,1.14,,,,1.22,1.14,,,,1.17,,,,,,,,,,,,,,,
dynamo kiev,g,3.0,3.0,,,,3.75,3.25,,,,2.62,,,,,,,,,,,,,,,
maccabi tel aviv,g,51.0,21.0,,,,11.0,26.0,,,,51.0,,,,,,,,,,,,,,,
zenit,h,1.08,1.08,,,,1.17,1.08,,,,1.04,,,,,,,,,,,,,,,
valencia,h,1.2,1.22,,,,1.4,1.2,,,,1.22,,,,,,,,,,,,,,,
lyon,h,4.5,3.5,,,,2.6,3.75,,,,4.33,,,,,,,,,,,,,,,
gent,h,8.0,8.5,,,,6.0,10.0,,,,10.0,,,,,,,,,,,,,,,
